word,start,end,probability
but,0.0,0.08,0.10560857504606247
here,0.08,0.24,0.5311697721481323
she's,0.4,0.72,0.7659411132335663
washing,0.72,1.0,0.5913804173469543
dishes,1.0,1.34,0.9789415597915649
she's,2.000000000000005,2.56,0.5474558249115944
leaning,2.56,2.66,0.38127192854881287
around,2.66,2.86,0.8770893812179565
here,2.86,3.04,0.9426881670951843
she's,3.08,3.24,0.9805957973003387
washing,3.24,3.46,0.9904848337173462
dishes,3.46,3.72,0.9505364894866943
this,4.300000000000005,4.86,0.9618741273880005
man,4.86,5.2,0.9907345771789551
here,5.2,5.6,0.97162926197052
he's,5.82,6.38,0.9821052551269531
trying,6.38,7.5,0.8907923698425293
to,7.5,7.78,0.9928939938545227
put,7.78,7.96,0.9912450909614563
food,7.96,9.44,0.9816934466362
in,9.44,10.16,0.9879245758056641
that,10.16,10.38,0.9838699698448181
crocodile,10.38,11.32,0.9542441964149475
and,12.000000000000005,12.56,0.9611668586730957
this,12.56,12.74,0.8291652202606201
young,12.74,12.92,0.9678633213043213
lady,12.92,13.12,0.9977889060974121
here,13.12,13.42,0.9903719425201416
no,13.76,14.68,0.74871426820755
he's,14.88,15.22,0.9915472567081451
taking,15.22,15.44,0.7976386547088623
out,15.44,15.64,0.7587989568710327
the,15.64,15.78,0.5646020174026489
crocodile,15.78,16.02,0.9996490478515625
he,16.46,16.78,0.7309220433235168
was,16.78,16.96,0.6060781478881836
taking,16.96,17.12,0.9927648901939392
it,17.12,17.28,0.9915130734443665
out,17.28,17.48,0.9999656677246094
and,17.58,17.86,0.9276050329208374
he's,17.86,18.04,0.9820494055747986
fallen,18.04,18.32,0.6274176239967346
he's,18.86,19.42,0.9927445650100708
taken,19.42,20.28,0.5268245935440063
out,20.28,20.5,0.9996336698532104
this,20.5,20.66,0.9188966155052185
crocodile,20.66,21.28,0.9991869330406189
and,22.3,22.58,0.9825076460838318
he's,22.58,23.06,0.9709127843379974
trying,23.06,23.62,0.9996753931045532
to,23.62,23.78,0.9997535347938538
reach,23.78,23.92,0.9831621646881104
it,23.92,24.06,0.9789110422134399
to,24.06,24.16,0.9998908042907715
her,24.16,24.34,0.9998726844787598
but,24.48,24.94,0.9986334443092346
he's,24.94,25.22,0.9997522830963135
fallen,25.22,25.62,0.6603454351425171
he's,27.160000000000004,27.72,0.9998061656951904
fallen,27.72,28.06,0.9868122935295105
let,28.86,29.46,0.024270961061120033
me,29.46,29.88,0.6838970184326172
see,29.88,30.12,0.9680240750312805
let,30.82,31.12,0.40958309173583984
me,31.12,31.38,0.8816058039665222
see,31.38,31.58,0.993911862373352
there's,32.0,32.6,0.44222402572631836
a,32.6,32.6,0.40946781635284424
little,32.6,32.8,0.6588391661643982
water,32.8,33.06,0.6713664531707764
speed,33.06,33.3,0.8806563019752502
there,33.3,33.56,0.5702434182167053
there's,33.64,34.24,0.611588791012764
a,34.24,34.32,0.6326919794082642
little,34.32,34.46,0.85027676820755
water,34.46,34.92,0.9571177959442139
speed,34.92,35.16,0.9984188079833984
there,35.16,35.5,0.9059542417526245
running,35.5,35.76,0.7689651846885681
and,37.9,38.5,0.3476790487766266
the,38.5,38.62,0.8910201191902161
curtains,38.62,38.98,0.45251280069351196
and,39.32,39.9,0.36724960803985596
the,39.9,40.6,0.9758123755455017
shades,40.6,40.86,0.9317870736122131
cars,42.02,42.62,0.5747208595275879
planes,43.42,44.02,0.8484778702259064
door,44.04,44.64,0.5403261780738831
door,45.6,45.84,0.0020787944085896015
what,46.38,46.98,0.12842512130737305
the,46.98,47.12,0.867857813835144
crap,47.12,47.42,0.7674969434738159
massive,47.52,48.02,0.4905903860926628
doors,48.02,48.42,0.9890717267990112
everything,48.52,49.0,0.7896502614021301
