word,start,end,probability
touching,2.839999999999999,4.28,0.8103931546211243
lips,4.28,4.52,0.38033002614974976
raising,4.7,5.36,0.8445003032684326
arms,5.36,6.02,0.7207130789756775
stretching,6.34,7.44,0.4279613494873047
before,7.44,8.34,0.9057227969169617
cooking,8.34,9.06,0.7410373687744141
handing,9.36,10.36,0.7798171639442444
cookie,10.36,10.76,0.5889541506767273
gowns,10.76,11.62,0.5935733914375305
slipping,11.62,12.8,0.9339193105697632
from,12.8,14.26,0.6605539917945862
stool,14.26,14.66,0.001386098563671112
falling,14.66,16.34,0.8582013845443726
over,16.34,17.04,0.9808486700057983
and,17.22,18.72,0.5368103981018066
liking,18.72,20.68,0.02070884220302105
dishes,20.68,21.0,0.19214791059494019
water,21.44,22.78,0.9627377986907959
running,22.78,23.26,0.9912993311882019
water,23.58,25.2,0.9599758386611938
over,25.2,25.46,0.9668956995010376
the,25.46,25.62,0.47287070751190186
phone,25.62,25.96,0.3793737292289734
and,26.26,28.08,0.8620521426200867
i,28.08,28.92,0.05670101195573807
don't,28.92,32.02,0.9195665121078491
know,32.02,32.14,0.9769876003265381
if,32.14,32.24,0.38533976674079895
that's,32.24,32.56,0.9292275607585907
funny,32.56,32.74,0.2689708173274994
and,34.56,35.44,0.16193409264087677
stepping,35.44,36.32,0.3958054184913635
out,36.32,36.84,0.9856843948364258
from,36.84,37.12,0.9659282565116882
water,37.12,37.64,0.9647459387779236
i,38.96000000000001,39.84,0.3039786219596863
guess,39.84,39.84,0.6105945110321045
that's,39.84,39.84,0.9831661283969879
it,39.84,39.84,0.8227472901344299
bye,40.04,40.92,0.05775480344891548
bye,44.26,44.5,0.0758928433060646
